,benchmark,epochs,n_ants,alpha,beta,rho,init_pher,mean_time,found_cost,opt_cost
0,A-n32-k5,100,8,0.75,5,0.1,1000,1.1705026388168336,851.6711963216972,784
1,A-n33-k5,100,8,0.75,5,0.1,1000,2.3971027612686155,739.6753657220909,661
2,A-n33-k6,100,8,0.75,5,0.1,1000,2.2602131843566893,820.9704521043283,742
3,A-n34-k5,100,8,0.75,5,0.1,1000,2.5014949321746824,851.7110891517511,778
4,A-n36-k5,100,8,0.75,5,0.1,1000,2.8366942405700684,921.9407857848144,799
5,A-n37-k5,100,8,0.75,5,0.1,1000,3.236499714851379,800.4206284988092,669
6,A-n37-k6,100,8,0.75,5,0.1,1000,2.8327004432678224,1070.5778546088302,949
7,A-n38-k5,100,8,0.75,5,0.1,1000,3.154001975059509,826.5699281949551,730
8,A-n39-k5,100,8,0.75,5,0.1,1000,3.4360198736190797,928.9701703589664,822
9,A-n39-k6,100,8,0.75,5,0.1,1000,3.1899033546447755,986.7769460491076,831
10,A-n44-k6,100,8,0.75,5,0.1,1000,4.119899868965149,1061.9054650627345,937
11,A-n45-k6,100,8,0.75,5,0.1,1000,4.258204412460327,1047.1150003943726,944
12,A-n45-k7,100,8,0.75,5,0.1,1000,4.278502488136292,1288.280353847259,1146
13,A-n46-k7,100,8,0.75,5,0.1,1000,4.529702806472779,1049.5043276342046,914
14,A-n48-k7,100,8,0.75,5,0.1,1000,4.870034098625183,1272.5079247217907,1073
15,A-n53-k7,100,8,0.75,5,0.1,1000,6.002303504943848,1179.5511713232152,1010
16,A-n54-k7,100,8,0.75,5,0.1,1000,6.299800825119019,1304.6185378839405,1167
17,A-n55-k9,100,8,0.75,5,0.1,1000,6.27049949169159,1243.1898934467433,1073
18,A-n60-k9,100,8,0.75,5,0.1,1000,7.761200642585754,1566.8997323080755,1354
19,A-n61-k9,100,8,0.75,5,0.1,1000,7.738901519775391,1198.8073210074613,1034
20,A-n62-k8,100,8,0.75,5,0.1,1000,8.418499970436097,1547.0990854347333,1288
21,A-n63-k10,100,8,0.75,5,0.1,1000,8.14320387840271,1637.5312247236045,1314
22,A-n63-k9,100,8,0.75,5,0.1,1000,8.256798458099365,1827.6311165567479,1616
23,A-n64-k9,100,8,0.75,5,0.1,1000,8.712302756309509,1687.113225391509,1401
24,A-n65-k9,100,8,0.75,5,0.1,1000,8.86010446548462,1409.829187644132,1174
25,A-n69-k9,100,8,0.75,5,0.1,1000,10.430704760551453,1449.1412175744756,1159
26,A-n80-k10,100,8,0.75,5,0.1,1000,14.584301543235778,2145.6593030659164,1763
27,B-n31-k5,100,8,0.75,5,0.1,1000,2.102602481842041,708.9598700960178,672
28,B-n34-k5,100,8,0.75,5,0.1,1000,2.673797583580017,834.6678624538108,788
29,B-n35-k5,100,8,0.75,5,0.1,1000,2.7414032220840454,1039.376168345409,955
30,B-n38-k6,100,8,0.75,5,0.1,1000,3.051800179481506,876.6424479640106,805
31,B-n39-k5,100,8,0.75,5,0.1,1000,3.4291993618011474,710.9881931911053,549
32,B-n41-k6,100,8,0.75,5,0.1,1000,3.5744086503982544,871.5412601267136,829
33,B-n43-k6,100,8,0.75,5,0.1,1000,4.170400261878967,834.0293295112486,742
34,B-n44-k7,100,8,0.75,5,0.1,1000,4.097903060913086,1023.7157067369967,909
35,B-n45-k5,100,8,0.75,5,0.1,1000,4.802095890045166,833.6608526221008,751
36,B-n45-k6,100,8,0.75,5,0.1,1000,2.1445005178451537,741.9604897455021,678
37,B-n50-k7,100,8,0.75,5,0.1,1000,2.7386037588119505,815.3911807182486,741
38,B-n50-k8,100,8,0.75,5,0.1,1000,5.5181598424911495,1426.0869472732581,1312
39,B-n51-k7,100,8,0.75,5,0.1,1000,5.57560293674469,1051.5763078378243,1032
40,B-n52-k7,50,8,0.75,5,0.1,1000,2.8986041069030763,929.1063692217105,747
41,B-n56-k7,100,8,0.75,5,0.1,1000,7.03999969959259,887.7293824958329,707
42,B-n57-k7,100,8,0.75,5,0.1,1000,3.5648951053619387,1279.5852100257227,1153
43,B-n57-k9,100,8,0.75,5,0.1,1000,6.9714017629623415,1744.8389233939122,1598
44,B-n63-k10,100,8,0.75,5,0.1,1000,8.349803400039672,1701.1542674114194,1496
45,B-n64-k9,100,8,0.75,5,0.1,1000,8.773100662231446,1000.6227647072851,861
46,B-n66-k9,100,8,0.75,5,0.1,1000,9.508703637123109,1464.127124574239,1316
47,B-n67-k10,100,8,0.75,5,0.1,1000,9.601704812049865,1259.5518174995384,1032
48,B-n68-k9,100,8,0.75,5,0.1,1000,10.202701115608216,1433.5648967910383,1272
49,B-n78-k10,100,8,0.75,5,0.1,1000,7.086702752113342,1440.5155824025871,1221
